personLabel	assocLabel	birthDate	startDate	groupBirthPlaceLabel	groupGenreLabels	groupLabelLabels
Norman Granz	Anita O'Day	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Billie Holiday	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Charlie Parker	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Dizzy Gillespie	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Duke Ellington	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Ella Fitzgerald	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Cannonball Adderley	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Coleman Hawkins	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Lester Young	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Joe Pass	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Louis Armstrong	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Oscar Peterson	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Bill Harris (musician)	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Roy Eldridge	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Sonny Stitt	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Tal Farlow	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Paulinho da Costa	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Lionel Hampton	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Count Basie	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Johnny Hodges	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Thelonious Monk	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Buddy Rich	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Benny Carter	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Bill Evans	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Buddy DeFranco	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Stan Getz	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Hank Jones	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Louie Bellson	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Art Tatum	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Bud Powell	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Milt Jackson	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Gerry Mulligan	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Ben Webster	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Herb Ellis	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Buck Clayton	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Flip Phillips	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Howard McGhee	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Gene Krupa	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Illinois Jacquet	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Charlie Shavers	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Barney Kessel	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Norman Granz	Ray Brown (musician)	1918-08-06	1944.0	Los Angeles	Jazz	Clef Records|Norgran Records|Pablo Records|Verve Records
Kiyoshiro Imawano	Akiko Yano	1951-04-02	1968.0	Nakano, Tokyo	Folk rock|Rhythm and blues	Avex Group|EMI Music Japan|Polydor Records|Universal Music Group|Warner Music Group
Kiyoshiro Imawano	Reichi Nakaido	1951-04-02	1968.0	Nakano, Tokyo	Folk rock|Rhythm and blues	Avex Group|EMI Music Japan|Polydor Records|Universal Music Group|Warner Music Group
