"personLabel"	"assocLabel"
"Norman Granz"	"Anita O'Day"
"Kiyoshiro Imawano"	"Akiko Yano"
"Simone (actress)"	"Andrew Lloyd Webber"
"Stan Kenton"	"Anita O'Day"
"Paul Smith (pianist)"	"Anita O'Day"
"Tim Rice"	"Andrew Lloyd Webber"
"Mike Leander"	"Andrew Lloyd Webber"
"Luis Cobos"	"Antonio Banderas"
"Tom Hambridge"	"Ashley Judd"
"Gene Krupa"	"Anita O'Day"
"Bill Dowdy"	"Anita O'Day"
"Max Miller (jazz musician)"	"Anita O'Day"
"Billie Holiday"	"Ella Fitzgerald"
"Charlie Parker"	"Dizzy Gillespie"
"John Coltrane"	"Dizzy Gillespie"
"Norman Granz"	"Billie Holiday"
"Norman Granz"	"Charlie Parker"
"Norman Granz"	"Dizzy Gillespie"
"Norman Granz"	"Duke Ellington"
"Norman Granz"	"Ella Fitzgerald"
"Willie Dixon"	"Chuck Berry"
"Candido Camero"	"Dizzy Gillespie"
"Dave Holland (drummer)"	"Glenn Hughes"
"Jim Anderson (sound engineer)"	"Ella Fitzgerald"
"Keter Betts"	"Ella Fitzgerald"
"Mickey Roker"	"Dizzy Gillespie"
"Mickey Roker"	"Ella Fitzgerald"
"Mickey Roker"	"Herbie Hancock"
"Roy Haynes"	"Charlie Parker"
"Zeke Zarchy"	"Benny Goodman"
"Zeke Zarchy"	"Ella Fitzgerald"
"Zeke Zarchy"	"Judy Garland"
"Zeke Zarchy"	"Lawrence Welk"
"Alan Tarney"	"Cliff Richard"
"Diane Arkenstone"	"David Arkenstone"
"Janet Lawson"	"Duke Ellington"
"Ruth Lorenzo"	"Dannii Minogue"
"Zaine Griff"	"Gary Numan"
"Lou McGarity"	"Benny Goodman"
"Reb Spikes"	"Jelly Roll Morton"
"Ivie Anderson"	"Duke Ellington"
"Jimmy Garrison"	"John Coltrane"
"Red Norvo"	"Benny Goodman"
"Arthur Whetsol"	"Duke Ellington"
"Mahlon Clark"	"Lawrence Welk"
"Natalie Nevins"	"Lawrence Welk"
"Bernard Purdie"	"Dizzy Gillespie"
"Bill Danoff"	"John Denver"
"Billy Hart"	"Herbie Hancock"
"DJ Disk"	"Herbie Hancock"
"Dave Kilminster"	"Keith Emerson"
"Deon Estus"	"George Michael"
"Erica Lindsay"	"Dizzy Gillespie"
"Jim Horn"	"John Denver"
"Joey Spampinato"	"Chuck Berry"
"Jack Teagarden"	"Benny Goodman"
"Jack Teagarden"	"Bix Beiderbecke"
"Barney Bigard"	"Duke Ellington"
"Barney Bigard"	"King Oliver"
"Cecil Taylor"	"John Coltrane"
"Freddie Keppard"	"Buddy Bolden"
"Wardell Gray"	"Benny Goodman"
"Harry Carney"	"Duke Ellington"
"Ray Nance"	"Duke Ellington"
"Al Hibbler"	"Duke Ellington"
"Jimmy Heath"	"Dizzy Gillespie"
"Rex Stewart"	"Duke Ellington"
"Laurdine Patrick"	"John Coltrane"
"Butch Ballard"	"Duke Ellington"
"Bud Scott"	"Buddy Bolden"
"Chris Columbus (musician)"	"Dizzy Gillespie"
"Chris Columbus (musician)"	"Duke Ellington"
"Chris Columbus (musician)"	"Ella Fitzgerald"
"Claude Jones"	"Duke Ellington"
"Claude Jones"	"Jelly Roll Morton"
"Doc West"	"Billie Holiday"
"Doc West"	"Charlie Parker"
"Doc West"	"Dizzy Gillespie"
"Elmon Wright"	"Dizzy Gillespie"
"Nat Peck"	"Benny Goodman"
"Nat Peck"	"Dizzy Gillespie"
"Nat Peck"	"Duke Ellington"
