personLabel	birthDate	startDate	groupBirthPlaceLabel	groupGenreLabels	groupLabelLabels
George Nooks		1974	Kingston, Jamaica	Gospel music|Lovers rock|Reggae	Ariola Records|Jet Star (record distribution company)|Joe Gibbs (record producer)|VP Records
Andy Sheppard	1957-01-20	1978		Post bop	
Braxton Olita	1985-09-17	2004	Honolulu	Pop music|Reggae|Rock music	
West Arkeen	1960-06-18	1981		Blues rock|Hard rock|Rock music	
Doris Cellar	1984-10-10			Baroque pop|Experimental music|Indie rock|Pop rock	
DallasK		2010		Electro house|Electronic dance music|House music	Musical Freedom|Revealed Recordings|Ultra Music
Václav Noid Bárta	1980-10-27		Prague	Rock music	
Nick Raskulinecz	1970-02-04		Knoxville, Tennessee		
Anahid Ajemian	1924-01-26		Manhattan|New York City		
Raúl di Blasio	1949-11-14		Zapala	Classical music|Instrumental|Jazz|Pop music	
Grace Bawden	1992-10-07	2007		Crossover (music)|Operatic pop	
Liv Kristine	1976-02-14	1993	Stavanger	Folk metal|Gothic metal|Industrial metal|Pop rock|Symphonic metal|Viking metal	Napalm Records
Arjun Menon	1987-12-19	2011	Chennai		
Anju Panta					
Lee Fields				Funk|Rhythm and blues|Soul music	
Rob Grange		1965		Hard rock|Heavy metal music|Progressive rock	DiscReet Records|Epic Records|Warner Bros. Records
Fabri Fibra	1976-10-17	1996		Hip hop music|Political rap|Pop rap	Universal Music
K.Maro	1980-01-31	1997		Hip hop music|Pop music|Rap	K.Pone.Inc
Kurt Harland	1963-01-25			Freestyle music|New wave music|Synthpop	
Mads Hauge					
Jess Lee (Malaysian singer)				Mandarin pop	Warner Music
Soledad Bravo	1943-01-01	1968		Political|Traditional	
Kalomira	1985-01-31	2004		Dance music|Laïko|Pop (music)	Heaven Music
Maurizio Lobina	1973-10-30	1998	Asti	Electronic dance music	
Fred Below	1926-09-06		Chicago	Blues music	
Harry Gorodetzer		1936		Classical music	
Rahki				Hip hop music|R&B|West Coast hip hop	
Jimmy Pop	1972-08-27	1988		Alternative hip hop|Comedy rock|Electronica|Punk rock|Rap rock|Synthpop	
Denny Laine	1944-10-29	1957	Birmingham	Blues-rock|Jazz fusion|Rhythm and blues|Rock and roll	Arista Records|Decca Records|EMI|Griffin Music|Reprise Records|Takoma Records
Jason Popson	1971-11-02	80	Cleveland	Alternative metal|Experimental metal|Industrial metal|Nu metal	
Ray Alexander (musician)	1925-02-07			Jazz	
Clint Crisher	1973-01-23	1993		Adult Contemporary|Pop music|R&B	
Ronnie Bright	1938-10-18	1950	New York City	Doo-wop|Rhythm and blues	
Amy Farina					
Ayaka Wada	1994-08-01				
Juan Tyrone Garcia		1950			
Haluk Şahin					
May J.	1988-06-20	2006	Yokohama	Contemporary R&B|Pop music|Urban music	Ki/oon Records|Rhythm Zone
Zach Hill	1979-12-28	1999		Electronic music|Experimental hip hop|Math rock|Noise rock|Punk rock	5 Rue Christine|Ache Records|Anticon|Epic Records|Harvest Records|Ipecac Recordings|Joyful Noise Recordings|Kill Rock Stars|Narnack Records|Sargent House|Sick Room Records|Skin Graft Records|Sub Pop|Suicide Squeeze Records
Natalie Pa'apa'a		2000			
Sgt Slick		1995		Electronica|House music	
Aida Ward					
Mattias Hellberg	1973-06-13		Karlstad	Blue-eyed soul|Blues|Blues rock|Garage punk|Garage rock|Progg|Punk rock|Reggae|Soul music	
Lee Burridge		1984		Acid House|Breakbeat|Electronic Dance Music|Electronica|Minimal Techno|Tech house	Global Underground
Marzieh (singer)		1942	Tehran	Classical music|Folk music|Traditional music	Avang Records|Caltex Records
Rebekka Bakken	1970-04-04			Jazz	EmArcy Records
Cale Sampson		2002	Toronto	Canadian hip hop|Rap music	
Frank Ocean	1987-10-28	2005	Long Beach, California|New Orleans	Contemporary R&B	Boys Don't Cry (record label)|Def Jam Recordings|Island Def Jam Music Group
Bob Lanois			Gatineau	Ambient Music|Folk music	Cordova Bay Records
Mike Schuppan	1983-08-25		St. Louis	Alternative rock|Industrial rock|Rock music	
Deniz Koyu	1985-04-29	2007	Bochum	Electro house|Progressive house	Axtone Records|Flamingo Recordings|Protocol Recordings|Refune Records|Spinnin' Records
Bogdan Bacanu		1988	Bucharest		
Cassiane	1973-01-27	1981		Devotional music|Gospel music|Pentecostalism	Sony Music Entertainment
John L. Watson (singer)	1941-05-19			R&B	
Virginia to Vegas	1990-01-31	2013		Pop music|Pop rock	
Thiruvizha Jayashankar		1955		Indian classical music	
Kathryn Meisle	1899-10-14	1923	Philadelphia		
Guy Carawan	1927-07-27	1950	Los Angeles		
Shanti Snyder	1981-06-04	1996		Nu Jazz	
Big Dad Ritch		2004		Heavy metal music|Southern rock|Stoner rock	Carved Records
Nash Chase				Pop music	EMI|HMV|Ode Records (record label)
Beata Moon		1977			Naxos Records
Dev Hynes	1985-12-23	2005	Houston	Baroque pop|Electronic music|Folk music|Indie rock|Jazz|New wave music|Quiet storm|Rhythm and blues|Soul music	Domino Recording Company|Terrible Records
Justin Parker		2010			
StreetBeatz	1992-03-14	2013	Accra	African popular music|Afrobeat|Contemporary R&B|Highlife|Hip hop music|Hiplife	
Tom Johnston (musician)	1948-08-15	1970	Visalia, California	Rock music	
Richard Davis (techno artist)					
Levon Ichkhanian					
MC Daleste	1992-10-30	2009		Funk ostentação	
Jascha Richter	1963-06-24			Pop rock|Soft rock	
The Phantom Boyz		2006			
Nabin K Bhattarai	1974-03-14	1982	Kathmandu	Blues rock|Pop music|Psychedelic rock	Asian Music
Hurshul Clothier	1921-11-18	1950		Western swing	
Attila Özdemiroğlu	1943-01-05		Ankara		
Anthony Lant				Black metal|Groove metal|Heavy metal music|Speed metal|Thrash metal	
Julian Koster	1972-07-26	1989		Indie folk|Lo-fi music|Psychedelic folk	Bar/None|Elephant Six|Kindercore|Merge Records|Orange Twin
Cyrus (metal musician)	1975-05-12	1998		Black metal|Heavy metal music|Symphonic black metal|Thrash metal	
Ramon Goose	1977-01-16	1990		Acoustic music|African blues|African music|Blues|Blues rock|Country blues|World music	
Queen Jane (musician)				Benga music	
Debra Byrd			Cleveland		
Arlissa	1992-09-21	2012		Indie pop	
Tomas N'evergreen	1969-11-12		Aarhus	Electropop|House music	
Anders Remmer		1994		Ambient music|Electronic music	City Centre Offices|FLEX Records
Joe Beats	1977-10-04	1999		Hip hop music	Bully Records|Lex Records|Strange Famous Records
Roki	1985-07-07	2001			
Hildegard Rütgers					
Emily Loizeau	1975-02-07	2001			
Julienne Irwin	1993-03-14	2007		Country music|Pop music	
Arielle (singer)	1990-08-03	2011			
Bria Valente		2001	Minneapolis	Rhythm and blues	NPG Records
Wes Styles		1993			
Gabriel Teodros		1999		Hip hop music|Hip hop music in the Pacific Northwest	
Mili Nair				Bollywood|Film Music|Inde|Jazz|Original Soundtracks	
Basil Poledouris	1945-08-21	1970	Kansas City, Missouri	Film score	
Gord Bamford	1976-04-17	1995	Traralgon	Country music	ABC Music|Royalty Records|Sony Music Canada
Sérgio Assad	1952-12-26	1966		Classical Music	Elektra Records|Nonesuch Records
Yung6ix	1989-07-08	2009	Warri	Hip hop music	
Michail Belchev	1946-08-13			Pop music	
Artemiy Artemiev	1966-01-13	1988		Electronic music	
Stuart Cable	1970-05-19	1992		Alternative rock|Britpop|Grunge|Hard rock	
Holly Tucker (musician)		2007	Waco, Texas	Country music	
Cyrus Villanueva	1996-06-20	2015		Pop music	Sony Music Australia
Tony Romeo	1938-12-25			Pop music	Columbia Records
Charlie Brown (singer)	1986-10-20	2012		Contemporary R&B	
Victor Calderone	1967-03-20	1980		House music	
Alan Murphy	1953-11-28	1975		Fusion (music)|Rock music	Chrysalis Records|EMI|Polydor
Janick Gers	1957-01-27	1975		Hard rock|Heavy metal music|Progressive rock	EMI
Andy Vallario					
Sam Sweeney	1989-02-27		Nottingham	Folk music	
Inara George	1974-07-04	1990	Baltimore	Country music|Folk music|Independent music|Indie rock|Indie-pop|Pop music|Psychedelic pop|Shoegaze|Synthpop|Vocal music	
Courtney Jenaé		2011	Fountain Valley, California	Pop music	
P-Money		1999		Hip hop music	Dirty Records
Deane Waretini		1970		Country music|Pop music	CBS Records International|Ode Records (record label)|Tony McCarthy Recordings
Steven Schoenberg	1952-10-17		Springfield, Massachusetts		
Margie Hyams	1920-08-09	1940	New York City	Cool Jazz|Jazz|Modal Jazz|Post-Bop|Third Stream	Black & White Records|Decca Records|MGM Records|Verve Records
Luther Magby	1896-06-05	1927			
Lars Andreas Haug	1975-04-12			Jazz	
Francisco Canaro	1888-11-26		San José de Mayo	Tango (music)	
Lincoln Jean-Marie	1976-12-27	1994		Christian music|Jazz|Rhythm and blues|Soft Rock|Soul music	Warner Bros. Records
Lucky Akhand	1956-06-18		Dhaka		
Gretta Ray					
Domenico Piccichè	1970-07-18		Palermo		
Ray LaMontagne	1973-06-18		Nashua, New Hampshire	Folk blues|Folk music|Folk rock|Rock music|Soul music	RCA Records
Skee-Lo	1975-03-27	1985	Chicago	Hip hop music	
Bynon		2008		Dance-pop|Electro house|Progressive house	Armada Music|Atlantic Records|Perfecto Records|Revealed Recordings|Sony Music Entertainment|Spinnin Records|Ultra Music
Howard Davidson					
Eamonn McCrystal	1987-06-01	2000		Easy listening|Vocal music	
Christian Jaksjø	1973-12-18			Jazz	
Wild Willy Barrett	1950-05-30	1968		Folk Music of England|Punk music|Reggae music	Logo Records|Polydor Records|Transatlantic Records
Nazia Iqbal		2000		Folk music|Pop music	
Violinder	1992-11-27	2011		Bhangra (music)|Classical music|Hip hop music	
Dorsaf Hamdani	1975-06-06				
Charlie Atom		2010		Electronic dance music|Experimental music|House Music|Pop music	Blanco y Negro Music
Megan Burns	1986-06-25	2000	Liverpool	Pop rock	Island Records
Ryan Saranich	1987-02-16	1992	Danbury, Connecticut	Funk|Fusion (music)|Jazz	
Kami Lyle	1968-09-07		Edina, Minnesota		MCA Records
Paige Lewis		2001		Folk rock|Indie (music)|Pop music	Warner Music Nashville
Hamako Watanabe	1910-10-27	1934	Yokohama		
Chris Stills					
Samm Bennett					
Subliminal (rapper)	1979-11-13	1999	Tel Aviv	Hip hop music	Helicon Records
Paul Williams (saxophonist)	1915-07-13	1930		Jump blues|Rhythm and blues	Atlantic Records|Savoy Records
T. M. Krishna	1976-01-22	1988	Chennai	Indian classical music	
Lisa LeBlanc		2006		Folk music|Rock music	
Linda McLean			Belleville, Ontario		MapleMusic Recordings|Rounder Records
Yalın	1980-03-30	2004		Pop music|Rock music|World music	
Hoàng Hải	1982-04-30			Pop music	
Pauli Hanhiniemi	1964-10-24	1982			
Gordon Kennedy (musician)			Shreveport, Louisiana	Christian rock	
Mohammad Fouad	1961-12-20	1982		Mediterranean music	
Nick Nola		2004		R&B	
Susan Enan		2006	Peterborough	Acoustic music	
Nan Vernon	1967-10-07	1990		Alternative rock	Eastwest Records
Ernest Stoneman	1893-05-25	1920		Country music	
D. Rogers		1996			Popboomerang
Anindya Chatterjee			Kolkata		
Birgit Havenstein					
Chris Masuak		1974	Kamloops	Punk rock	
Barriemore Barlow	1949-09-10	1963	Birmingham	Hard rock|Heavy metal music|Progressive rock	
Jeremy Russell					
Nacho Picasso	1983-10-30	2010	San Francisco	Alternative hip hop	
Rosana Melo	1973-10-24	1998		Pop music	Independent record label
Nena	1960-03-24	1979	Hagen	Neue Deutsche Welle|New wave music|Pop music|Punk rock|Synthpop	Columbia Records|Warner Bros. Records
Julien Baker	1995-09-29		Memphis, Tennessee	Alternative rock|Ambient music|Indie folk	
Lazy Lester	1933-06-20			Harmonica blues|Louisiana blues|Rhythm and blues|Swamp blues	Alligator Records|Excello Records|Telarc Records
Wizkid (musician)	1990-07-16	2001	Lagos	African popular music|Afrobeat|Reggae	Empire Mates Entertainment
Kenneth Kamal Scott	1940-05-03	1945			
Chuck Cissel	1948-10-03	1970		Disco|Jazz|Rhythm and blues	Arista Records
Amit Saigal	1965-07-06	1993	Allahabad		
Natalie Haas					
Bal Gandharva	1888-06-26	1905		Sangeet Natak	
Teddy Corpuz	1979-12-04	2000		Alternative rock|Pinoy rock|Pop rock	Sony Music
Maria Lawson	1979-05-24	1996		Contemporary R&B|Soul music	Sony BMG|Universal Music Group
Dimitar Nenov	1901-12-19		Razgrad		
Miles Jones (musician)	1983-03-24	2004	Toronto	Hip hop music|Soul music	
Kyjuan		1996	St. Louis	Hip hop music|Pop rap|R&B	Derrty Entertainment|Universal Records
Luz Rios		1999		Latin pop|Pop-rock|Regional Mexican music	
Emy Jackson	1945-07-02				
Project Pat	1973-02-08	1991	Memphis, Tennessee	Gangsta rap|Hip hop music	E1 Music|Hypnotize Minds|Taylor Gang Records
Jody Raffoul		1987		Alternative rock|Classic rock|Country music|Indie pop|Pop music|Rock music	
Peter Taylor (composer)		1960	Manchester		
Mario Talavera	1885-12-13		Xalapa	Popular music	
Matthew Ryan (musician)	1971-11-07	1997	Chester, Pennsylvania	Alternative country	A&M Records|Hybrid Recordings|One Little Indian Records
Joseph Vidal (composer)	1859-11-15				
Pierre Estève	1961-02-11	1974		Contemporary music|Folk music|World music	Warner Music Group
Carsten Bo Eriksen	1973-10-02	2000		Ambient music|Electronica|Experimental music	
Matteo Becucci	1970-08-04	1994	Livorno	Italian pop music	RCA Records|Sony Music
Angel (British musician)	1987-10-31	2009		Contemporary R&B|Grime (music)|Hip hop music	Island Records|Republic Records|Universal Republic Records
Selebobo	1991-07-29	2011	Enugu	Afro pop music|Hip hop|RnB	
Blak Prophetz		1979		Funk Music|Hip hop music|Jazz	Demon Music Group|Digital Jukebox Records|Kold Sweat Records
Tyler Willman		1989		Alternative rock|Post-grunge|Psychedelic rock	Columbia Records|Echo Records|Giant Records (Warner)|Reprise Records|Warner Music Group
Neil Harrison	1950-12-04	1973		Pop music|Rock music	
Sriram Parasuram					
DJ Boston	1983-03-26	2000		Electronic music|House music	
Barbara Lynn	1942-01-16	1962		Electric blues|Rhythm and blues	Atlantic Records
David Boyd (New Politics)		2002		Alternative rock	
Vakhtang Kakhidze	1959-03-23	1983		Classical music|Folklore|Georgian people|Opera|Symphony	
Big Joe (reggae)				Reggae	
Dawid Podsiadło	1993-05-23	2010	Dąbrowa Górnicza	Alternative rock|Blues|Britpop|Indie pop|Pop music|Pop rock	Sony Music Entertainment Poland
Luca Turilli	1972-03-05	1993	Trieste	Neo-classical metal|Power metal|Symphonic metal	
Sowelu	1982-11-06	2002	Tokyo	Contemporary R&B|Pop music	Defstar Records|Rhythm Zone
Preap Sovath		1992		Cambodian music	
Gianluigi Cavallo	1968-08-09	1999	Parma	Rock music	
Aina More	1992-05-12	2010		British Hip Hop|Soul|Spoken Word	
Anita Hegerland	1961-03-03	1969	Sandefjord	Pop music|Pop rock music	
Peter Autschbach		1976	Siegen	Fingerstyle guitar|Jazz	
Red Symons	1949-06-13				
Nelson Eddy	1901-06-29		Providence, Rhode Island		
Naná Vasconcelos	1944-08-02	1973		Jazz|World music	
Jeanette Washington					
Rockell	1977-03-04	1996	Staten Island	Dance-pop|Freestyle music|Hi-NRG	Sony BMG
David Celia		1989		Folk rock	
Fanny (singer)	1979-09-16	1991		Pop music	
Fernando Saunders			Detroit		
Tom Smothers	1937-02-02	1959	New York City	Folk music	
Rebstar	1988-10-04	2008	Malmö	Contemporary R&B|Hip hop music	Today Is Vintage
Junior Walker	1931-06-14	1945	Blytheville, Arkansas	Disco|Rhythm and blues	Motown|Whitfield Records
Robert Marks (vocal coach)		1974			
Alex Kew	1986-10-21	1995		Folk Music|Indie Rock|Pop music|Rock'n'Roll	
Mohammed Haddad	1975-10-02	1995		Instrumental|Soundtrack|Theatrical	
Aynur Doğan		2002	Çemişgezek	Kurdish language|Turkish language	Kalan Müzik|Sony Music
Atsuko Inaba	1974-03-13	1993	Osaka	J-pop	
Yoon Jong-shin	1969-10-15	1990			
Robb Flynn	1967-07-19	1985	Oakland, California	Groove metal|Heavy metal music|Nu metal|Thrash metal	
Cha Seung-woo	1978-07-27				
Pete Briggs			Charleston, South Carolina	Jazz	
Ivan Shafiq	1975-09-12		Peshawar	Classical Music|Ghazals|Pop Rock|Semi-classical music	
Rex Vijayan	1983-04-26		Kollam	Alternative metal|Alternative rock	
Soundaryan		1990	Chennai		
Les Reed (songwriter)	1935-07-24	1950		Popular music	
D.C. Minner	1935-01-28	1950			
Carlos Redman	1982-08-28	2005		Jazz|Rhythm and blues	
Pierre Guédron					
Klaus Nomi	1944-01-24	1977		Baroque music|Disco|Experimental music|New wave music|Opera|Synthpop	RCA Records
Richa Sharma (singer)	1980-08-29	1990		Playback singing	
Yasushi Ishii	1970-03-10	1991	Utsunomiya	Acid jazz|Classical rock|Fusion jazz|Hard rock|Soft rock	Epic Records
Curtis Lee	1939-10-28	1960	Yuma, Arizona	Doo-wop|Pop music	
Lanny Ross	1906-01-19		Seattle		
Sumati Mutatkar	1916-09-10			Hindustani classical music	
Kastro Zizo					
Terje Gewelt	1960-06-08			Jazz	
